player,pos,age,team,team_g,g,gs,mp,fgm,fga,fg_perc,3pm,3pa,3p_perc,2pm,2pa,2p_perc,efg,ftm,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,ts,3par,ftr,orb_perc,drb_perc,trb_perc,ast_perc,stl_perc,blk_perc,tov_perv,usg_perc,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,offensive_raptor,defensive_raptor
Raul Neto,PG,27,PHI,50,67.24,3.28,11.4,1.6,3.6,0.453,0.6,1.5,0.4,1,2.1,0.489,0.534,0.3,0.4,0.778,0.2,0.9,1.1,1.5,0.5,0.1,0.8,0.9,4.2,11.5,0.552,0.405,0.122,2.1,8.2,5.2,19.3,2.1,0.9,17.9,17.5,0.164,0.984,1.148,0.074,-2.3,-0.8,-3.1,-0.164,-1.821527472,3.286827381
Georges Niang,PF,26,UTA,49,71.95918367,0,13.8,2.1,4.5,0.467,1.3,3.1,0.429,0.8,1.4,0.548,0.613,0.3,0.4,0.833,0.3,1.6,1.9,0.7,0.3,0.1,0.4,1.2,5.9,13.1,0.626,0.682,0.092,2.1,12.1,7.3,7.4,0.9,0.7,8.1,16.3,1.673469388,1.004081633,2.67755102,0.128,1.4,-1.2,0.2,0.502040816,0.428306105,-3.17257014
Nerlens Noel,C,25,OKC,50,67.24,9.84,19.1,3.3,4.9,0.685,0,0.1,0.333,3.3,4.8,0.69,0.688,1.6,2,0.805,1.7,3.6,5.3,1.2,1.1,1.5,1,2.4,8.3,23.5,0.722,0.015,0.41,10.2,20.2,15.4,9.3,2.9,6.8,15.4,15.7,3.936,2.788,6.724,0.249,1.8,5.5,7.3,2.952,-0.701871579,4.116774846
Zach Norvell,SG,22,LAL,48,3.416666667,0,2.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,-5.6,0,0,0,0,21.3,10.9,0,0,0,0,8.5,0,0,0,-0.154,-14.3,-2.9,-17.3,0,-10.98774289,-8.663261179
Jaylen Nowell,SG,20,MIN,48,11.95833333,0,11.6,1.6,4.4,0.355,0.3,2.4,0.118,1.3,2,0.643,0.387,1,1.1,0.875,0.3,0.4,0.7,0.9,0,0.1,0.4,0.4,4.4,7.1,0.449,0.548,0.258,2.5,4,3.2,10.9,0,1,8,19.1,0,0,0,-0.023,-4,-4.4,-8.4,-0.170833333,-2.660194996,1.136855272
Frank Ntilikina,PG,21,NYK,50,72.16,39.36,21,2.2,5.8,0.378,0.8,2.4,0.317,1.4,3.4,0.42,0.443,0.8,0.9,0.875,0.4,1.8,2.2,3,1,0.4,1.3,2.6,5.9,9,0.479,0.409,0.157,1.9,9.2,5.4,20.3,2.2,1.6,17.6,15.1,-0.328,1.148,0.656,0.022,-2.7,-0.1,-2.8,-0.328,-2.704464331,0.246659579
Kendrick Nunn,SG,24,MIA,48,76.875,76.875,30.3,6.3,13.7,0.46,2,5.7,0.357,4.3,8,0.533,0.534,1.3,1.6,0.822,0.3,2.5,2.8,3.5,0.9,0.2,1.8,2.3,16,14.1,0.554,0.413,0.118,1,8.7,5.1,19.2,1.4,0.6,11.2,23.7,1.5375,2.05,3.758333333,0.076,0.1,-2,-1.8,0.170833333,0.304108829,1.69325976
David Nwaba,SF,27,BRK,48,34.16666667,0,13.4,1.9,3.6,0.521,0.6,1.4,0.429,1.3,2.2,0.581,0.606,0.9,1.4,0.667,0.4,1.9,2.3,0.4,0.6,0.6,0.4,1.6,5.2,14.1,0.627,0.394,0.38,3.1,13.8,8.6,4.4,1.9,3.7,8.8,14.2,0.683333333,0.683333333,1.366666667,0.139,-1.7,1.3,-0.3,0.170833333,-0.584622923,6.596664429
Royce O'Neale,PF,26,UTA,49,82,75.30612245,29.4,2.2,4.8,0.456,1.2,3,0.411,1,1.9,0.527,0.582,0.5,0.6,0.852,0.3,4.9,5.2,2.7,0.7,0.4,0.8,3,6.1,9.2,0.601,0.616,0.114,1.2,17.3,9.6,11.9,1.2,1,13.5,8.7,2.510204082,3.012244898,5.52244898,0.111,-0.1,2.5,2.4,2.67755102,0.40741025,1.411445532
Kyle O'Quinn,C,29,PHI,50,34.44,1.64,10.3,1.4,2.9,0.492,0.3,1,0.333,1.1,1.9,0.575,0.549,0.1,0.4,0.375,1.1,2.6,3.7,1.5,0.2,0.8,0.9,1.4,3.3,16.2,0.542,0.344,0.131,11.8,27.1,19.6,20.3,0.9,6.7,21.8,16.4,0.328,0.656,0.984,0.131,-1.8,4.6,2.8,0.492,-1.179979158,-3.568015817
