player,pos,age,team,team_g,g,gs,mp,fgm,fga,fg_perc,3pm,3pa,3p_perc,2pm,2pa,2p_perc,efg,ftm,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,ts,3par,ftr,orb_perc,drb_perc,trb_perc,ast_perc,stl_perc,blk_perc,tov_perv,usg_perc,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,offensive_raptor,defensive_raptor
Bobby Portis,C,24,NYK,50,82,6.56,20.9,3.7,8.6,0.433,1,2.8,0.352,2.7,5.8,0.472,0.491,1,1.3,0.731,1.4,4,5.4,1.6,0.5,0.2,1,1.8,9.4,14.3,0.513,0.33,0.156,6.8,20.7,13.5,11.8,1.2,0.9,10,20.7,0.984,1.148,2.132,0.061,-1,-0.9,-2,0,-2.330289929,-0.820558127
Kristaps Porzingis,PF,24,DAL,49,61.91836735,61.91836735,30.5,6.1,15.1,0.404,2.1,6.3,0.339,3.9,8.8,0.451,0.475,2.9,4,0.741,1.7,7.3,9,1.4,0.6,1.9,1.7,3.1,17.2,16.7,0.513,0.418,0.264,5.9,24.4,15.3,7,1,5.4,9.3,25.9,0.669387755,2.67755102,3.514285714,0.088,-2.1,0.6,-1.5,0.167346939,-1.876563802,1.510289624
Dwight Powell,C,28,DAL,49,66.93877551,61.91836735,26.5,3.7,5.7,0.638,0.3,1,0.256,3.4,4.8,0.716,0.659,1.9,2.8,0.667,1.9,3.8,5.7,1.5,0.9,0.6,0.9,2.6,9.4,16.2,0.677,0.17,0.485,7.5,14.7,11.1,7.7,1.6,1.8,11.5,12.6,4.518367347,1.673469388,6.191836735,0.168,1.5,1.3,2.9,2.175510204,-0.041255996,0.477534894
Norman Powell,SG,26,TOR,49,63.59183673,28.44897959,28.2,5.5,11.1,0.498,2,5.1,0.401,3.5,6.1,0.578,0.589,2.2,2.6,0.84,0.6,3.3,3.9,1.7,1.3,0.4,1.5,2,15.3,16.8,0.623,0.455,0.237,2.2,12,7.2,9.3,2.1,1.3,10.9,20.9,2.844897959,2.844897959,5.52244898,0.15,1.3,0.4,1.7,1.673469388,1.031812933,0.372536357
Julius Randle,PF,25,NYK,50,78.72,78.72,32.4,7,15.7,0.447,1.1,4.1,0.269,5.9,11.6,0.51,0.482,3.8,5.4,0.707,2.3,7.2,9.5,3.3,0.8,0.3,3,2.8,18.9,16.8,0.524,0.262,0.344,7.2,24.2,15.4,16.9,1.2,0.8,14.3,27.5,0.492,1.968,2.624,0.049,-0.2,-0.3,-0.6,0.984,-0.700457611,0.465461573
Josh Reaves,SG,22,DAL,49,3.346938776,0,0.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-40.2,0,0,0,0,0,0,0,0,0,0,42.7,0,0,0,-1.028,-38.2,-12.1,-50.3,0,-38.22696478,-25.92843631
Cam Reddish,SF,20,ATL,50,75.44,50.84,26,3.2,9,0.349,1.3,4.1,0.309,1.9,4.9,0.383,0.419,1.5,2,0.789,0.7,3.1,3.8,1.5,1,0.5,1.6,2.2,9.1,7.4,0.461,0.453,0.217,2.6,13,7.7,8.4,1.8,1.5,14.2,18.3,-2.46,1.148,-1.476,-0.034,-4.4,-0.7,-5,-1.476,-4.142565914,0.425068808
J.J. Redick,SG,35,NOP,49,73.63265306,58.57142857,27.8,4.8,10.6,0.455,3.1,6.6,0.467,1.7,4,0.434,0.601,2.9,3.2,0.894,0.2,2.6,2.8,1.9,0.3,0.2,1.3,1.6,15.6,15.5,0.65,0.624,0.303,0.8,9.9,5.3,9.8,0.6,0.5,9.4,19.7,4.853061224,0.502040816,5.187755102,0.124,2.8,-3.1,-0.4,0.836734694,2.096315347,-2.628164333
Naz Reid,C,20,MIN,48,25.625,0,10.5,2.4,6.1,0.396,1,3.3,0.306,1.4,2.8,0.5,0.478,0.6,0.9,0.643,0.7,1.5,2.1,0.9,0.3,0.4,0.6,2,6.4,14.2,0.494,0.538,0.154,6.4,15,10.6,14.1,1.5,3.2,8.5,28,0,0.341666667,0.170833333,0.041,-0.4,-1.6,-2,0,0.571555702,2.171152453
Josh Richardson,SG,26,PHI,50,62.32,62.32,31.5,5.5,12.6,0.436,1.6,4.8,0.333,3.9,7.8,0.5,0.5,2.4,2.9,0.818,0.8,2.5,3.3,3.4,1,0.6,2.1,2.7,15,12.9,0.539,0.382,0.23,2.8,8.6,5.8,16.1,1.5,1.6,13.2,21.9,0.82,2.46,3.28,0.079,-0.8,-0.3,-1.2,0.492,0.387284211,1.038300447
Austin Rivers,SG,27,HOU,48,75.16666667,6.833333333,23.6,3.1,7.3,0.424,1.4,3.9,0.347,1.8,3.4,0.513,0.517,1,1.5,0.672,0.4,2,2.5,1.6,0.7,0.2,0.6,2,8.6,10.3,0.538,0.536,0.207,1.9,9,5.4,9.4,1.3,0.7,7.4,15,1.708333333,1.195833333,2.904166667,0.077,-1.1,-1.4,-2.6,-0.170833333,1.15785651,-2.555558599
Duncan Robinson,SF,25,MIA,48,82,73.45833333,28.3,4,8.8,0.461,3.4,7.7,0.438,0.7,1.1,0.623,0.652,0.6,0.7,0.909,0.1,3.1,3.2,1.2,0.5,0.3,0.7,2.8,12.1,12.5,0.665,0.874,0.078,0.6,11.6,6.4,6.3,0.9,0.9,7.4,15.3,3.929166667,2.05,5.979166667,0.123,2.7,-1.5,1.2,1.879166667,2.542159925,-0.658147606
Glenn Robinson,SF,26,GSW,50,77.08,77.08,31.6,5,10.5,0.478,1.4,3.5,0.398,3.6,7,0.518,0.545,1.3,1.5,0.843,1.4,3.3,4.7,1.7,0.9,0.3,1,1.7,12.7,12.9,0.569,0.336,0.142,4.5,11.6,7.9,8.3,1.4,0.8,8.4,16.4,2.46,0.984,3.444,0.068,-0.5,-1.1,-1.6,0.164,-1.030683343,-2.313719046
Jerome Robinson,SG,22,LAC,49,68.6122449,1.673469388,11.6,1.1,3.3,0.338,0.5,1.6,0.284,0.7,1.7,0.391,0.408,0.3,0.5,0.579,0.1,1.3,1.5,1.1,0.3,0.2,0.6,1.3,3,4.8,0.423,0.493,0.14,1.1,11.7,6.5,12.4,1.2,1.5,15.3,14.8,-1.004081633,0.836734694,0,-0.003,-4.8,0.3,-4.5,-0.502040816,-4.389606757,0.767222028
Justin Robinson,PG,22,WAS,48,15.375,0,5.4,0.6,1.3,0.417,0.3,0.6,0.6,0.2,0.8,0.286,0.542,0,0,0,0.1,0.4,0.6,0.8,0,0.1,0.3,0.2,1.4,8.3,0.542,0.417,0,2.1,9.3,5.6,18.3,0,1.8,20,12.7,0,0,0,0,-3.3,-3.6,-6.9,-0.170833333,-3.246553164,-0.07536939
Mitchell Robinson,C,21,NYK,50,75.44,11.48,22.8,3.9,5.4,0.72,0,0,0,3.9,5.4,0.72,0.72,1.4,2.3,0.602,2.8,4,6.8,0.6,0.8,1.9,0.7,3.3,9.2,22.4,0.714,0,0.432,12.3,19,15.5,3.9,1.8,7.7,9.2,13.2,5.412,2.296,7.872,0.218,1.4,3.7,5.1,3.116,0.592076861,-0.205597948
Isaiah Roby,SF,21,OKC,50,1.64,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20.1,0,0,0,0,0,0,0,0,0,0,22,0,0,0,-0.543,-22.4,-5.9,-28.3,0,-30.49240382,-5.881744346
Rajon Rondo,PG,33,LAL,48,56.375,3.416666667,21.2,3,7.2,0.414,0.9,2.7,0.337,2.1,4.5,0.46,0.477,0.7,0.9,0.759,0.5,3,3.5,5.5,0.9,0.1,2,1.1,7.6,13.6,0.497,0.372,0.121,2.6,14.9,8.9,34.4,2,0.3,20.8,19.2,0.5125,1.5375,2.05,0.082,-1.4,-0.1,-1.5,0.170833333,-0.429736383,-2.967567777
Derrick Rose,PG,31,DET,50,70.52,14.76,26.7,7.7,15.4,0.499,1,3,0.318,6.7,12.4,0.543,0.53,2.6,2.9,0.873,0.5,2,2.6,5.9,0.8,0.3,2.5,1.1,18.9,22.2,0.566,0.195,0.19,2.2,8.5,5.4,41.2,1.5,0.9,13,31.1,3.772,0.82,4.756,0.12,3.4,-2.6,0.8,1.312,4.100808436,-2.646989385
Terrence Ross,SG,28,ORL,49,78.65306122,0,26.1,4.5,11.6,0.39,2.2,6.8,0.322,2.3,4.7,0.489,0.485,2,2.4,0.839,0.2,2.8,3,1,1.1,0.3,0.9,1.6,13.2,12.8,0.524,0.589,0.206,0.8,11.7,6.1,6.3,2,1,6.8,22.4,0.334693878,2.510204082,2.844897959,0.066,-0.7,-1.3,-2,0,-0.260739244,-0.682377577
Terry Rozier,PG,25,CHO,49,82,82,34.2,6.3,15.1,0.419,2.6,6.7,0.391,3.7,8.3,0.441,0.506,2.7,3.2,0.865,0.8,3.7,4.5,4.3,1.1,0.2,2.4,2.1,18,14.8,0.546,0.447,0.21,2.5,12.3,7.2,21.3,1.6,0.4,12.9,24.1,2.008163265,1.33877551,3.346938776,0.058,0.9,-1.7,-0.8,0.836734694,-1.121076312,-1.134975814
Ricky Rubio,PG,29,PHO,48,70.04166667,70.04166667,32,4.6,11.3,0.403,1.1,3.4,0.336,3.4,7.9,0.432,0.454,2.5,3,0.808,0.7,3.9,4.6,8.8,1.4,0.2,2.6,2.5,12.7,15,0.503,0.302,0.269,2.5,13.5,7.9,38.7,2,0.6,17,20.2,2.05,2.05,4.270833333,0.09,-0.3,-0.2,-0.5,0.854166667,0.615348425,0.831405948
D'Angelo Russell,SG,23,GSW,50,52.48,52.48,32.1,8.3,19.2,0.433,3.8,9.8,0.383,4.6,9.4,0.483,0.53,3.4,4.4,0.78,0.4,3.3,3.7,6.3,0.9,0.3,3.1,2,23.8,19.7,0.563,0.509,0.229,1.3,11.4,6.2,37.1,1.4,0.7,12.9,32.2,1.804,0.656,2.46,0.071,5.2,-3,2.1,1.804,4.117384008,-4.022629052
Domantas Sabonis,C,23,IND,49,76.97959184,76.97959184,34.4,7.3,13.5,0.538,0.2,1,0.234,7,12.5,0.563,0.547,3.4,4.7,0.722,3.3,9.4,12.7,4.5,0.8,0.5,2.7,3.4,18.2,20.7,0.583,0.076,0.348,10.7,30.1,20.4,19.9,1.1,1.4,15,23.4,5.187755102,4.183673469,9.371428571,0.169,1.4,2.5,3.9,4.016326531,0.793991335,0.239487685
JaKarr Sampson,SF,26,IND,49,30.12244898,16.73469388,13.8,1.9,3.3,0.593,0.1,0.6,0.182,1.8,2.7,0.688,0.61,0.2,0.6,0.4,0.6,1.8,2.4,0.2,0.3,0.4,0.3,1.7,4.2,11.1,0.599,0.186,0.169,4.9,14.3,9.6,2.2,1.2,2.8,8.6,12.3,0.334693878,0.502040816,0.836734694,0.101,-2.4,0.3,-2.1,0,-2.396210866,1.622673414
Dario Saric,PF,25,PHO,48,82,73.45833333,24.8,3.6,8.1,0.442,1.2,3.9,0.314,2.4,4.3,0.558,0.517,1.2,1.4,0.853,1.5,4.5,6,1.9,0.6,0.3,1.2,2.2,9.6,12.6,0.549,0.473,0.174,6.6,20.4,13.4,10.8,1.2,0.9,12.3,17.1,1.5375,1.879166667,3.416666667,0.082,-0.7,0.1,-0.6,0.683333333,-0.944050713,-0.185511852
Tomas Satoransky,PG,28,CHI,51,82,82,28.6,3.7,8.3,0.449,1,3.1,0.34,2.7,5.2,0.513,0.512,1.7,2,0.88,1,2.7,3.7,5.3,1.4,0.1,2,2,10.2,14.5,0.558,0.371,0.238,3.7,10.6,7,27.5,2.3,0.5,17.8,16.6,2.894117647,2.57254902,5.466666667,0.111,-0.1,0.1,0,1.28627451,0.51353452,1.369556931
Admiral Schofield,SF,22,WAS,48,44.41666667,3.416666667,11.2,1.2,2.9,0.4,0.5,1.8,0.298,0.6,1.1,0.571,0.493,0.3,0.5,0.692,0.2,1.1,1.3,0.5,0.3,0.1,0.3,1.6,3.2,6.9,0.514,0.627,0.173,2.1,10.9,6.3,6.1,1.3,0.9,8,12.4,0.170833333,0,0.170833333,0.014,-2,-2.6,-4.6,-0.341666667,-1.99818712,-3.489577321
Dennis Schroder,PG,26,OKC,50,80.36,1.64,31.1,7.1,15.1,0.472,2.1,5.4,0.388,5.1,9.8,0.519,0.541,2.7,3.3,0.838,0.3,3.6,3.9,4.1,0.7,0.2,2.6,2.2,19.1,16.9,0.577,0.355,0.216,1.2,12.2,6.9,22,1,0.6,13.7,27.1,2.624,2.132,4.592,0.09,1.2,-1.6,-0.4,0.984,0.171690824,1.571688227
Mike Scott,PF,31,PHI,50,82,11.48,17.7,2,5.1,0.393,1.1,3.3,0.325,0.9,1.8,0.516,0.498,0.4,0.5,0.88,0.8,2.6,3.4,0.6,0.3,0.1,0.4,1.3,5.6,9.4,0.519,0.646,0.097,5.2,16,10.7,4.7,0.9,0.4,6.3,14,0.82,1.64,2.46,0.083,-1.7,-1.2,-2.9,-0.328,-0.265656001,-1.611236885
Thabo Sefolosha,PF,35,HOU,48,54.66666667,0,10.3,0.9,2.2,0.414,0.4,1.3,0.302,0.5,0.8,0.593,0.507,0,0.1,0,0.5,1.8,2.3,0.7,0.4,0.2,0.3,1,2.2,9.1,0.495,0.614,0.057,5,18.3,11.6,8.3,1.8,1.8,13.3,10.3,0.170833333,0.683333333,0.854166667,0.071,-2.9,0.9,-2.1,0,-1.514643411,1.122916228
Collin Sexton,SG,21,CLE,50,82,82,32.1,7.6,16.4,0.462,1.3,3.6,0.354,6.3,12.9,0.491,0.5,3.2,3.7,0.856,1,2.2,3.3,2.6,1,0.1,2.2,2,19.6,16,0.543,0.217,0.228,3.6,7.7,5.6,13.6,1.5,0.4,10.8,27,2.132,0.328,2.46,0.045,-0.1,-3,-3.1,-0.656,1.242227289,-4.672465309
Landry Shamet,SG,22,LAC,49,53.55102041,38.48979592,28.4,3.3,7.8,0.428,2.3,5.9,0.399,1,1.9,0.516,0.578,1.1,1.2,0.921,0.1,2.1,2.2,1.8,0.4,0.2,0.8,3.1,10.1,9.2,0.607,0.752,0.152,0.5,7.3,3.9,8.4,0.7,0.6,8.9,13.2,2.008163265,1.171428571,3.179591837,0.102,1,-0.8,0.2,0.836734694,0.644578888,-2.394573851
Iman Shumpert,SG,29,BRK,48,22.20833333,0,18.5,1.6,4.9,0.328,0.6,2.5,0.242,1,2.4,0.419,0.391,0.3,0.5,0.571,0.7,1.9,2.6,0.9,0.9,0.2,0.8,1.6,4.2,5.4,0.403,0.516,0.109,3.9,10.4,7.2,6.8,2.3,0.7,13,13.4,-0.5125,0.5125,0,-0.005,-4.9,0.7,-4.2,-0.170833333,-3.993325129,0.723450237
Pascal Siakam,PF,25,TOR,49,63.59183673,63.59183673,34.9,8.9,19.2,0.462,2.2,6,0.37,6.7,13.2,0.504,0.52,3.9,4.9,0.796,1.1,6.5,7.6,3.4,1,0.9,2.5,2.9,23.8,19.2,0.559,0.311,0.255,3.5,19,11.4,16.7,1.4,2.6,10.5,29.2,2.342857143,3.848979592,6.191836735,0.133,0.6,1.1,1.7,2.008163265,1.057350156,0.108258732
Chris Silva,PF,23,MIA,48,54.66666667,0,8.1,1.2,1.8,0.667,0,0.1,0,1.2,1.7,0.691,0.667,0.9,1.3,0.674,1.5,1.5,3,0.5,0.3,0.5,0.9,2.1,3.3,18.2,0.692,0.035,0.754,21.9,20,20.9,8.7,1.7,6,27.6,17.8,1.025,0.854166667,1.708333333,0.189,0.1,3,3.1,0.5125,-0.198357543,-1.733066813
Ben Simmons,PG,23,PHI,50,78.72,78.72,36.2,6.7,11.5,0.584,0,0.1,0.4,6.7,11.4,0.586,0.586,3.2,5.2,0.618,2,5.8,7.8,8.2,2.2,0.6,3.5,3.2,16.7,20.8,0.605,0.009,0.454,6.1,17.5,11.8,34.7,2.9,1.4,20,20.6,5.904,5.084,10.988,0.185,1.8,3.3,5.1,5.084,0.824775586,1.50819364
Anfernee Simons,SG,20,POR,50,82,6.56,22.6,3.4,8.3,0.405,1.1,3.4,0.318,2.3,4.9,0.465,0.47,1.1,1.4,0.8,0.4,2.1,2.5,1.5,0.3,0.2,1,2,8.9,8.9,0.5,0.41,0.169,1.8,9.4,5.6,9.3,0.7,0.7,10.1,18.5,-0.164,0.328,0.164,0.006,-2.2,-2.5,-4.6,-1.312,-2.962686109,-4.188841492
Alen Smailagic,PF,19,GSW,50,14.76,0,10.2,1.8,3.2,0.552,0.2,1,0.222,1.6,2.2,0.7,0.586,0.9,1.1,0.8,0.8,1.7,2.4,0.9,0.1,0.3,0.6,1.1,4.7,17,0.629,0.31,0.345,7.9,18,12.8,14.1,0.5,2.9,13,17.8,0.328,0.164,0.328,0.126,-0.4,-1.1,-1.5,0,1.673333602,1.660240622
Marcus Smart,SG,25,BOS,48,66.625,46.125,31.5,4.2,11,0.379,2.3,6.5,0.352,1.9,4.5,0.418,0.483,1.8,2.1,0.831,0.7,2.9,3.6,4.8,1.5,0.5,1.5,2.5,12.4,13.8,0.519,0.588,0.193,2.5,9.7,6.1,21.2,2.4,1.4,11.4,18.3,2.220833333,3.075,5.295833333,0.121,1.3,0.7,2,2.220833333,0.717789426,2.320215206
Dennis Smith,PG,22,NYK,50,41,3.28,15.9,2,6,0.329,0.5,1.8,0.289,1.4,4.2,0.346,0.372,0.8,1.5,0.5,0.7,1.4,2.1,2.8,0.5,0.3,1.6,2,5.2,6.2,0.392,0.302,0.255,4.3,9.9,7,25.3,1.5,1.7,19.1,21.8,-1.476,0.328,-1.148,-0.086,-5.2,-1.2,-6.4,-0.656,-5.257917649,-1.619299758
Ish Smith,PG,31,WAS,48,82,20.5,26.3,4.6,10.1,0.459,0.9,2.6,0.352,3.7,7.5,0.496,0.504,0.8,1.3,0.667,0.5,2.6,3,4.6,0.8,0.4,1.3,1.5,11,14,0.517,0.258,0.124,1.8,11.2,6.3,24.8,1.4,1.2,10.8,18.8,2.05,0,2.220833333,0.048,-0.5,-2.3,-2.7,-0.341666667,0.128672376,-2.973419239
Zhaire Smith,SG,20,PHI,50,6.56,0,6.3,0.3,1.8,0.143,0,0.8,0,0.3,1,0.25,0.143,0.5,1,0.5,0,0.5,0.5,0.5,0.5,0,0.3,0.8,1,-1,0.228,0.429,0.571,0,8.7,4.4,10,3.9,0,10.2,16.9,-0.164,0,-0.164,-0.122,-9.6,0.2,-9.4,0,-8.574896438,-2.254446366
Tony Snell,SF,28,DET,50,70.52,67.24,26.5,2.9,6.3,0.454,1.8,4.4,0.416,1,1.9,0.543,0.6,0.4,0.4,1,0.1,1.7,1.8,1.5,0.5,0.3,0.4,1.6,8,9.7,0.616,0.701,0.07,0.6,7.2,3.9,7.8,0.9,0.8,6.1,11.3,2.46,0.492,2.952,0.077,0.5,-1.4,-0.9,0.492,-0.469359564,-2.595072021
Omari Spellman,PF,22,GSW,50,77.08,4.92,18,2.7,6.1,0.438,0.9,2.3,0.398,1.8,3.8,0.461,0.512,1.5,1.8,0.814,1.6,3,4.6,1,0.7,0.5,1.1,1.3,7.8,15.5,0.56,0.375,0.299,9.3,18.2,13.6,8.5,1.9,2.6,13.8,19,1.148,1.148,2.296,0.081,-1.3,-0.1,-1.4,0.164,-2.135591834,-1.25290708
Max Strus,SG,23,CHI,51,3.215686275,0,3,1,1.5,0.667,0,0.5,0,1,1,1,0.667,0.5,0.5,1,0.5,0,0.5,0,0,0,0,0.5,2.5,30.9,0.727,0.333,0.333,17.5,0,9.1,0,0,0,0,24.6,0,0,0,0.325,7.2,-9.5,-2.3,0,20.00283412,4.506127506
Edmond Sumner,PG,24,IND,49,31.79591837,3.346938776,13.7,1.8,4.2,0.438,0.4,1.4,0.308,1.4,2.8,0.5,0.488,0.4,0.7,0.615,0.4,1,1.4,1.5,0.6,0.3,0.7,1.4,4.5,10.6,0.502,0.325,0.163,3.4,8.1,5.8,14.6,2.3,2,14,16.9,0,0.502040816,0.502040816,0.054,-2.3,0.5,-1.8,0,-1.505870434,-0.942606716
Caleb Swanigan,PF,22,TOT,49,20.08163265,0,7.8,0.7,1.2,0.571,0,0,0,0.7,1.2,0.571,0.571,0.2,0.4,0.4,0.8,1.9,2.8,0.6,0.1,0.3,1.3,1.8,1.5,4.1,0.556,0,0.357,11.3,25.8,18.6,9.8,0.5,3.9,49.7,14.8,-0.334693878,0.167346939,-0.167346939,-0.071,-7.9,2,-5.9,-0.167346939,-6.462803731,-6.115158684
Jayson Tatum,PF,21,BOS,48,75.16666667,75.16666667,33.6,7.9,18.1,0.435,2.4,6.5,0.366,5.5,11.6,0.473,0.501,3.4,4.1,0.839,1,5.8,6.8,2.9,1.4,0.8,2.1,2,21.5,18.8,0.542,0.361,0.226,3.2,18.4,10.9,13.7,2,2.3,9.5,27.9,2.5625,4.270833333,6.833333333,0.129,0.6,0.8,1.4,2.220833333,2.272895058,2.162025359
Jeff Teague,PG,31,TOT,49,70.28571429,23.42857143,26.6,3.9,9,0.431,0.9,2.4,0.364,3,6.6,0.455,0.479,3.2,3.8,0.861,0.5,2.1,2.6,5.9,0.7,0.3,2.2,2,11.8,15,0.557,0.263,0.42,1.9,8.4,5.1,32.9,1.3,1,17.3,20,2.67755102,1.004081633,3.514285714,0.091,-0.7,-2.4,-3,-0.502040816,0.425278446,-4.405777021
Garrett Temple,SG,33,BRK,48,73.45833333,52.95833333,28.7,3.6,9.7,0.373,2.1,6.4,0.324,1.5,3.3,0.471,0.481,1,1.4,0.75,0.6,2.9,3.4,2.4,0.8,0.4,1.2,1.8,10.3,9.7,0.503,0.663,0.145,2.1,10.1,6.2,12.1,1.4,1.3,10.5,16.7,0.170833333,2.05,2.05,0.048,-1.3,-0.1,-1.4,0.341666667,-2.418227443,-0.387169008
Daniel Theis,C,27,BOS,48,75.16666667,73.45833333,22.7,3.3,6.1,0.547,0.4,1.3,0.305,2.9,4.7,0.615,0.581,1,1.5,0.692,2,4.2,6.2,1.6,0.7,1.4,0.8,3.4,8.1,17,0.6,0.221,0.243,9.6,19.6,14.7,9.9,1.5,5.8,11.1,14.2,3.416666667,3.245833333,6.6625,0.189,0.6,4.1,4.7,2.904166667,-1.187529731,1.902261257
Isaiah Thomas,PG,30,WAS,48,66.625,61.5,23.1,4.4,10.7,0.411,2,4.7,0.416,2.4,5.9,0.407,0.504,1.5,1.9,0.811,0.3,1.4,1.7,3.6,0.3,0.2,1.9,1.9,12.3,12,0.534,0.445,0.178,1.3,7.1,4,22.8,0.7,0.6,14.5,24.1,0.5125,-0.5125,0,0,-0.6,-5.1,-5.6,-1.366666667,-0.946749503,-5.670023378
Khyri Thomas,SG,23,DET,50,3.28,0,3,0,0,0,0,0,0,0,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0,0,0.5,3.9,0.568,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0.026,-4.6,-3.1,-7.7,0,-15.08046732,-2.313049478
Matt Thomas,SG,25,TOR,49,33.46938776,0,10.2,1.5,3.2,0.476,1.1,2.4,0.468,0.4,0.8,0.5,0.651,0.3,0.4,0.714,0.2,1.1,1.3,0.5,0.2,0,0.4,0.8,4.4,12.2,0.658,0.746,0.111,2.1,10.6,6.4,7.1,0.9,0,10.8,15.5,0.502040816,0.334693878,0.836734694,0.124,0.5,-2,-1.5,0,0.146661973,-1.146111871
Tristan Thompson,C,28,CLE,50,78.72,78.72,31,5,9.8,0.508,0.1,0.2,0.333,4.9,9.6,0.512,0.512,1.8,2.9,0.638,4.1,6.3,10.4,2.1,0.6,0.9,2,2.3,11.9,16.6,0.536,0.019,0.292,14.7,22.4,18.5,10.1,1,2.5,15,18,2.624,1.312,3.936,0.077,-0.8,0.8,0,1.312,-2.491714271,0.569770501
Matisse Thybulle,SG,22,PHI,50,68.88,16.4,20.2,1.7,4.3,0.392,1,2.8,0.371,0.7,1.5,0.431,0.511,0.5,0.9,0.639,0.5,1,1.6,1.2,1.5,0.8,0.9,2.3,5,9.6,0.528,0.641,0.199,2.9,5.7,4.3,8.1,3.7,3.4,16.5,12,-0.164,2.624,2.46,0.086,-1.7,3.4,1.7,1.312,-2.268941696,4.027875538
Anthony Tolliver,PF,34,TOT,49,65.26530612,15.06122449,15.6,1.2,3.3,0.349,0.8,2.6,0.317,0.3,0.7,0.464,0.473,0.4,0.5,0.667,0.7,2.3,3,0.8,0.3,0.3,0.6,1.5,3.5,7.2,0.492,0.783,0.163,5,14.9,10,6.7,0.9,1.4,14.3,11.2,0.167346939,0.502040816,0.669387755,0.028,-1.7,-0.6,-2.3,0,-3.640031707,-1.320028483
Karl-Anthony Towns,C,24,MIN,48,52.95833333,52.95833333,33.5,9.3,18.2,0.511,3.3,8.2,0.406,6,10,0.597,0.602,5.1,6.4,0.807,2.6,8.1,10.8,4.2,0.9,1.2,3.1,3.4,27,27.6,0.644,0.45,0.349,8,26,16.7,23.2,1.3,2.9,12.7,29.6,6.15,2.220833333,8.2,0.223,7.2,1.4,8.6,4.6125,6.230934832,0.727301226
Gary Trent,SG,21,POR,50,60.68,3.28,16.5,2.1,5.2,0.407,1.3,3.3,0.393,0.8,1.9,0.431,0.531,0.4,0.4,0.929,0.4,1.1,1.5,0.9,0.5,0.2,0.3,1.2,5.9,11,0.547,0.629,0.072,2.4,6.6,4.5,7.1,1.5,1,5.2,14.6,1.148,0.328,1.476,0.069,0.4,-1.9,-1.5,0.164,0.942200186,-0.884747034
Allonzo Trier,PG,24,NYK,50,32.8,1.64,12.3,1.9,4.3,0.435,0.8,2.3,0.326,1.1,2,0.564,0.524,1.6,2,0.795,0.2,1.1,1.3,1.2,0.1,0.2,1,1.2,6,12.4,0.587,0.541,0.459,1.6,9.7,5.5,14.8,0.4,1.5,16.4,21,0.328,0.164,0.492,0.054,-0.9,-3.2,-4.2,-0.164,-2.481592719,-5.499708157
P.J. Tucker,PF,34,HOU,48,82,82,35,2.6,6,0.441,1.5,4,0.365,1.2,2,0.594,0.563,0.7,0.9,0.833,1.6,5.5,7.1,1.7,1.2,0.4,1.1,3.4,7.5,8.9,0.586,0.667,0.146,4.7,16.2,10.5,6.1,1.5,1.1,15,8.8,2.5625,2.733333333,5.295833333,0.088,-0.7,1.5,0.8,2.05,-2.132575074,2.3412698
Rayjon Tucker,SG,22,UTA,49,20.08163265,0,6.2,0.7,1.6,0.421,0,0.5,0,0.7,1.1,0.615,0.421,0.3,0.4,0.6,0.2,0.8,0.9,0.2,0.1,0,0.3,0.6,1.6,4.5,0.448,0.316,0.263,3.1,12.7,8.1,3.7,0.7,0,12.4,14.3,-0.167346939,0.167346939,0,-0.008,-5.5,-1.4,-6.9,-0.167346939,-2.998213674,-0.712104873
Evan Turner,PG,31,ATL,50,29.52,0,12.8,1.3,3.5,0.381,0,0.3,0,1.3,3.2,0.414,0.381,0.7,0.8,0.857,0.4,1.6,2,2,0.4,0.4,1.4,1,3.3,7.3,0.434,0.079,0.222,3.2,13.7,8.4,21.6,1.6,2.9,26.6,17,-0.656,0.164,-0.492,-0.06,-7.3,0.4,-6.9,-0.492,-5.932112658,0.678751803
Myles Turner,C,23,IND,49,65.26530612,65.26530612,29.1,4.3,9.4,0.451,1.5,4.3,0.349,2.8,5.2,0.535,0.53,2.1,2.8,0.743,1.2,4.8,6,1.2,0.7,1.9,1.3,2.6,12.1,14.7,0.566,0.451,0.296,4.6,18.4,11.5,5.5,1.2,5.7,10.5,18.1,1.33877551,3.012244898,4.351020408,0.112,-0.8,2.4,1.5,1.673469388,-1.841752596,-0.170751098
Jonas Valanciunas,C,27,MEM,49,76.97959184,76.97959184,25.7,6.3,10.7,0.588,0.6,1.5,0.391,5.7,9.2,0.62,0.616,1.8,2.5,0.735,2.8,7.3,10.1,2,0.5,1.1,1.9,2.8,15,22.1,0.636,0.14,0.229,11.8,30,21,11.8,0.8,3.6,14,22.2,4.518367347,2.342857143,6.693877551,0.164,1.3,1.1,2.4,2.175510204,0.621236435,1.257741508
