Player,Tm,G,Team Wins,Overall Seed,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM,All-NBA,All-Star
Kevin Love,MIN,73,17,30,35.8,20.2,15.2,2.5,0.6,0.4,0.47,0.417,0.85,11.4,0.21,3.8,3.7,0,1
LeBron James,MIA,79,58,3,38.8,26.7,7.5,7,1.6,0.6,0.51,0.33,0.759,15.6,0.244,8.2,8.6,1,1
Derrick Rose,CHI,81,62,1,37.4,25,4.1,7.7,1,0.6,0.445,0.332,0.858,13.1,0.208,6,5.9,1,1
Amar'e Stoudemire,NYK,78,42,15,36.8,25.3,8.2,2.6,0.9,1.9,0.502,0.435,0.792,8,0.134,1.9,0.7,1,1
Dwight Howard,ORL,78,42,8,37.6,22.9,14.1,1.4,1.4,2.4,0.593,0,0.596,14.4,0.235,5,4.8,1,1
Dwyane Wade,MIA,76,58,3,37.1,25.5,6.4,4.6,1.5,1.1,0.5,0.306,0.758,12.8,0.218,5.7,5.9,1,1
Chris Bosh,MIA,77,58,3,36.3,18.7,8.3,1.9,0.8,0.6,0.496,0.24,0.815,10.3,0.177,1.7,0.4,0,1
Rajon Rondo,BOS,68,55,6,37.2,10.6,4.4,11.2,2.3,0.2,0.475,0.233,0.568,6.6,0.126,2.5,2,0,1
Joe Johnson,ATL,72,44,13,35.5,18.2,4,4.7,0.7,0.1,0.443,0.297,0.802,4.2,0.08,1.2,-0.2,0,1
Ray Allen,BOS,80,55,6,36.1,16.5,3.4,2.7,1,0.2,0.491,0.444,0.881,10,0.166,4.1,3.6,0,1
Paul Pierce,BOS,80,55,6,34.7,18.9,5.4,3.3,1,0.6,0.497,0.374,0.86,11.6,0.201,4.7,4.7,0,1
Al Horford,ATL,77,44,13,35.1,15.3,9.3,3.5,0.8,1,0.557,0.5,0.798,10.1,0.179,4.4,4.4,1,1
Kevin Garnett,BOS,71,55,6,31.3,14.9,8.9,2.4,1.3,0.8,0.528,0.2,0.862,9,0.194,3.4,4,0,1
Zach Randolph,MEM,75,46,11,36.3,20.1,12.2,2.2,0.8,0.3,0.503,0.186,0.758,10.5,0.185,3.1,2.5,1,0
LaMarcus Aldridge,POR,81,48,10,39.6,21.8,8.8,2.1,1,1.2,0.5,0.174,0.791,11.1,0.166,3.5,2.4,1,0
Kevin Durant,OKC,82,58.39393939,3,38.6,28,8,3.5,1.3,1.2,0.496,0.387,0.86,15.15757576,0.23,5.715151515,5.2,1,1
Kobe Bryant,LAL,72.06060606,50.93939394,6,38.5,27.9,5.4,4.6,1.2,0.3,0.43,0.303,0.845,7.703030303,0.132,2.981818182,2.3,1,1
Blake Griffin,LAC,82,49.6969697,9,36.2,20.7,10.9,3.2,0.8,0.7,0.549,0.125,0.521,11.43030303,0.185,4.596969697,4.1,1,1
Chris Paul,LAC,74.54545455,49.6969697,9,36.4,19.8,3.6,9.1,2.5,0.1,0.478,0.371,0.861,15.77878788,0.278,6.709090909,7.9,1,1
Andrew Bynum,LAL,74.54545455,50.93939394,6,35.2,18.7,11.8,1.4,0.5,1.9,0.558,0.2,0.692,9.939393939,0.183,2.484848485,1.8,1,1
Russell Westbrook,OKC,82,58.39393939,3,35.3,23.6,4.6,5.5,1.7,0.3,0.457,0.316,0.823,9.815151515,0.163,3.727272727,3.2,1,1
Kevin Love,MIN,68.33333333,32.3030303,21,39,26,13.3,2,0.9,0.5,0.448,0.372,0.824,12.42424242,0.223,4.348484848,4.5,1,1
Dirk Nowitzki,DAL,77.03030303,44.72727273,13,33.5,21.6,6.7,2.2,0.7,0.5,0.457,0.368,0.896,9.442424242,0.175,2.484848485,1.8,1,1
Marc Gasol,MEM,80.75757576,50.93939394,7,36.5,14.6,8.9,3.1,1,1.9,0.482,0.083,0.748,10.18787879,0.166,4.348484848,3.9,0,1
Tony Parker,SAS,74.54545455,62.12121212,2,32.1,18.3,2.9,7.7,1,0.1,0.48,0.23,0.799,8.821212121,0.177,2.236363636,1.7,1,1
LaMarcus Aldridge,POR,68.33333333,34.78787879,20,36.3,21.7,8,2.4,0.9,0.8,0.512,0.182,0.814,8.696969697,0.169,2.733333333,2.4,0,1
Steve Nash,PHO,77.03030303,41,18,31.6,12.5,3,10.7,0.6,0.1,0.532,0.39,0.894,7.33030303,0.144,0.86969697,-0.5,0,1
Dwyane Wade,MIA,60.87878788,57.15151515,4,33.2,22.1,4.8,4.6,1.7,1.3,0.497,0.268,0.791,9.566666667,0.227,4.224242424,6.3,1,1
LeBron James,MIA,77.03030303,57.15151515,4,37.5,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771,18.01515152,0.298,9.442424242,11,1,1
Dwight Howard,ORL,67.09090909,45.96969697,12,38.3,20.6,14.5,1.9,1.5,2.1,0.573,0,0.491,9.566666667,0.179,3.727272727,3.8,1,1
Carmelo Anthony,NYK,68.33333333,44.72727273,14,34.1,22.6,6.3,3.6,1.1,0.4,0.43,0.335,0.804,7.703030303,0.16,2.857575758,2.9,1,1
Derrick Rose,CHI,48.45454545,62.12121212,1,35.3,21.8,3.4,7.9,0.9,0.7,0.435,0.312,0.812,7.454545455,0.211,2.981818182,4.9,0,1
Chris Bosh,MIA,70.81818182,57.15151515,4,35.2,18,7.9,1.8,0.9,0.8,0.487,0.286,0.821,8.572727273,0.165,1.242424242,0,0,1
Deron Williams,NJN,68.33333333,27.33333333,25,36.3,21,3.3,8.7,1.2,0.4,0.407,0.336,0.843,5.093939394,0.099,2.609090909,2.1,0,1
Rajon Rondo,BOS,65.84848485,48.45454545,10,36.9,11.9,4.8,11.7,1.8,0.1,0.448,0.238,0.597,6.087878788,0.121,1.987878788,1.3,1,1
Andre Iguodala,PHI,77.03030303,43.48484848,16,35.6,12.4,6.1,5.5,1.7,0.5,0.454,0.394,0.617,9.06969697,0.158,4.472727273,4.4,0,1
Paul Pierce,BOS,75.78787879,48.45454545,10,34,19.4,5.2,4.5,1.1,0.4,0.443,0.366,0.852,8.696969697,0.161,4.224242424,4.4,0,1
Roy Hibbert,IND,80.75757576,52.18181818,5,29.8,12.8,8.8,1.7,0.5,2,0.497,0,0.711,7.703030303,0.154,2.981818182,3,0,1
Luol Deng,CHI,67.09090909,62.12121212,1,39.4,15.3,6.5,2.9,1,0.7,0.412,0.367,0.77,7.206060606,0.132,2.733333333,2.1,0,1
Tyson Chandler,NYK,77.03030303,44.72727273,14,33.2,11.3,9.9,0.9,0.9,1.4,0.679,0,0.689,11.8030303,0.22,3.975757576,4.1,1,0
Kevin Durant,OKC,81,60,2,38.5,28.1,7.9,4.6,1.4,1.3,0.51,0.416,0.905,18.9,0.291,7.6,7.7,1,1
Kobe Bryant,LAL,78,45,13,38.6,27.3,5.6,6,1.4,0.3,0.463,0.324,0.839,10.9,0.174,5.1,4.7,1,1
Blake Griffin,LAC,80,56,5,32.5,18,8.3,3.7,1.2,0.6,0.538,0.179,0.66,10.6,0.196,4.5,4.8,1,1
Chris Paul,LAC,70,56,5,33.4,16.9,3.7,9.7,2.4,0.1,0.481,0.328,0.885,13.9,0.287,5.6,7.5,1,1
Dwight Howard,LAL,76,45,13,35.8,17.1,12.4,1.4,1.1,2.4,0.578,0.167,0.492,7.6,0.134,2.3,1.3,1,1
James Harden,HOU,78,45,12,38.3,25.9,4.9,5.8,1.8,0.5,0.438,0.368,0.851,12.8,0.206,5.7,5.5,1,1
Tony Parker,SAS,66,58,3,32.9,20.3,3,7.6,0.8,0.1,0.522,0.353,0.845,9.3,0.206,2.6,2.7,1,1
Russell Westbrook,OKC,82,60,2,34.9,23.2,5.2,7.4,1.8,0.3,0.438,0.323,0.8,11.6,0.195,5.1,5,1,1
David Lee,GSW,79,47,10,36.8,18.5,11.2,3.5,0.8,0.3,0.519,0,0.797,9.1,0.15,3.3,2.5,1,1
Zach Randolph,MEM,76,56,6,34.3,15.4,11.2,1.4,0.8,0.4,0.46,0.087,0.75,7.9,0.145,1.4,0.2,0,1
LaMarcus Aldridge,POR,74,33,21,37.7,21.1,9.1,2.6,0.8,1.2,0.484,0.143,0.81,7.2,0.124,2,0.8,0,1
Tim Duncan,SAS,69,58,3,30.1,17.8,9.9,2.7,0.7,2.7,0.502,0.286,0.817,8.3,0.191,3.2,4.1,1,1
Carmelo Anthony,NYK,67,54,7,37,28.7,6.9,2.6,0.8,0.5,0.449,0.379,0.83,9.5,0.184,2.8,2.4,1,1
LeBron James,MIA,76,66,1,37.9,26.8,8,7.3,1.7,0.9,0.565,0.406,0.753,19.3,0.322,9.8,11.6,1,1
Dwyane Wade,MIA,69,66,1,34.7,21.2,5,5.1,1.9,0.8,0.521,0.258,0.725,9.6,0.192,3.5,3.9,1,1
Chris Bosh,MIA,74,66,1,33.2,16.6,6.8,1.7,0.9,1.4,0.535,0.284,0.798,9,0.175,2,1.2,0,1
Kevin Garnett,BOS,68,41,16,29.7,14.8,7.8,2.3,1.1,0.9,0.496,0.125,0.786,5.6,0.133,1.5,1,0,1
Kyrie Irving,CLE,59,24,28,34.7,22.5,3.7,5.9,1.5,0.4,0.452,0.391,0.855,5.3,0.125,2.8,3.3,0,1
Paul George,IND,79,49,9,37.6,17.4,7.6,4.1,1.8,0.6,0.419,0.362,0.807,9,0.145,5,4.7,1,1
Luol Deng,CHI,75,45,11,38.7,16.5,6.3,3,1.1,0.4,0.426,0.322,0.816,6.3,0.105,2.2,1.1,0,1
Tyson Chandler,NYK,66,54,7,32.8,10.4,10.7,0.9,0.6,1.1,0.638,0,0.694,9.3,0.207,3,3.5,0,1
Joakim Noah,CHI,66,45,11,36.8,11.9,11.1,4,1.2,2.1,0.481,0,0.751,7.3,0.145,4.4,5.2,0,1
Jrue Holiday,PHI,78,34,19,37.5,17.7,4.2,8,1.6,0.4,0.431,0.368,0.752,3.3,0.055,1.9,0.6,0,1
Brook Lopez,BRK,74,49,8,30.4,19.4,6.9,0.9,0.4,2.1,0.521,0,0.758,9,0.191,1.9,1.4,0,1
Marc Gasol,MEM,80,56,6,35,14.1,7.8,4,1,1.7,0.494,0.071,0.848,11.5,0.197,5.7,6.1,1,0
Kyrie Irving,CLE,71,33,22,35.2,20.8,3.6,6.1,1.5,0.3,0.43,0.358,0.861,6.7,0.128,3.3,3.2,0,1
LeBron James,MIA,77,54,6,37.7,27.1,6.9,6.3,1.6,0.3,0.567,0.379,0.75,15.9,0.264,8,8.9,1,1
Paul George,IND,80,56,4,36.2,21.7,6.8,3.5,1.9,0.3,0.424,0.364,0.864,10.8,0.178,4.9,4.7,1,1
Carmelo Anthony,NYK,77,37,19,38.7,27.4,8.1,3.1,1.2,0.7,0.452,0.402,0.848,10.7,0.172,4.2,3.6,0,1
Dwyane Wade,MIA,54,54,6,32.9,19,4.5,4.7,1.5,0.5,0.545,0.281,0.733,5.5,0.149,1.9,2.3,0,1
Joakim Noah,CHI,80,48,11,35.3,12.6,11.3,5.4,1.2,1.5,0.475,0,0.737,11.2,0.19,6.1,6.6,1,1
John Wall,WAS,82,44,15,36.3,19.3,4.1,8.8,1.8,0.5,0.433,0.351,0.805,7.9,0.128,3.4,2.6,0,1
DeMar DeRozan,TOR,79,48,12,38.2,22.7,4.3,4,1.1,0.4,0.429,0.305,0.824,8.8,0.141,2,0.7,0,1
Paul Millsap,ATL,74,38,18,33.5,17.9,8.5,3.1,1.7,1.1,0.461,0.358,0.731,6.7,0.129,3.2,3.1,0,1
Roy Hibbert,IND,81,56,4,29.7,10.8,6.6,1.1,0.4,2.2,0.439,0.4,0.77,5.4,0.108,1.1,-0.2,0,1
Chris Bosh,MIA,79,54,6,32,16.2,6.6,1.1,1,1,0.516,0.339,0.82,8,0.152,1.6,0.5,0,1
Joe Johnson,BRK,79,44,14,32.6,15.8,3.4,2.7,0.6,0.1,0.454,0.401,0.815,4.9,0.091,1.2,-0.1,0,1
Kevin Durant,OKC,81,59,2,38.5,32,7.4,5.5,1.3,0.7,0.503,0.391,0.873,19.2,0.295,8.5,8.8,1,1
Kevin Love,MIN,77,40,17,36.3,26.1,12.5,4.4,0.8,0.5,0.457,0.376,0.821,14.3,0.245,7.3,8.4,1,1
Blake Griffin,LAC,80,57,3,35.8,24.1,9.5,3.9,1.2,0.6,0.528,0.273,0.715,12.2,0.205,4.8,4.6,1,1
Stephen Curry,GSW,78,51,8,36.5,24,4.3,8.5,1.6,0.2,0.471,0.424,0.885,13.4,0.225,6.7,7.4,1,1
James Harden,HOU,73,54,5,38,25.4,4.7,6.1,1.6,0.4,0.456,0.366,0.866,12.8,0.221,5.4,5.7,1,1
Chris Paul,LAC,62,57,3,35,19.1,4.3,10.7,2.5,0.1,0.467,0.368,0.855,12.2,0.27,5.2,7.4,1,1
Dwight Howard,HOU,71,54,5,33.7,18.3,12.2,1.8,0.8,1.8,0.591,0.286,0.547,8,0.161,2.4,1.9,1,1
LaMarcus Aldridge,POR,69,54,7,36.2,23.2,11.1,2.6,0.9,1,0.458,0.2,0.822,7.5,0.144,1.5,0.3,1,1
Tony Parker,SAS,68,62,1,29.4,16.7,2.3,5.7,0.5,0.1,0.499,0.373,0.811,5.9,0.141,0.8,-0.5,1,1
Anthony Davis,NOP,67,34,21,35.2,20.8,10,1.6,1.3,2.8,0.519,0.222,0.791,10.4,0.212,3.9,4.5,0,1
Damian Lillard,POR,82,54,7,35.8,20.7,3.5,5.6,0.8,0.3,0.424,0.394,0.871,9.6,0.157,3.5,2.7,1,1
Dirk Nowitzki,DAL,80,49,10,32.9,21.7,6.2,2.7,0.9,0.6,0.497,0.398,0.899,10.9,0.199,3.5,3.3,0,1
Goran Dragic,PHO,76,48,13,35.1,20.3,3.2,5.9,1.4,0.3,0.505,0.408,0.76,10.3,0.186,4,3.9,1,0
Al Jefferson,CHA,73,43,16,35,21.8,10.8,2.1,0.9,1.1,0.509,0.2,0.69,7.8,0.146,2.5,1.8,1,0
James Harden,HOU,81,56,3,36.8,27.4,5.7,7,1.9,0.7,0.44,0.375,0.868,16.4,0.265,7.8,8.4,1,1
Stephen Curry,GSW,80,67,1,32.7,23.8,4.3,7.7,2,0.2,0.487,0.443,0.914,15.7,0.288,7.9,9.9,1,1
Marc Gasol,MEM,81,55,5,33.2,17.4,7.8,3.8,0.9,1.6,0.494,0.176,0.795,10.2,0.182,4.6,4.8,1,1
Klay Thompson,GSW,77,67,1,31.9,21.7,3.2,2.9,1.1,0.8,0.463,0.439,0.879,8.8,0.172,2.9,2.7,1,1
LaMarcus Aldridge,POR,71,51,8,35.4,23.4,10.2,1.7,0.7,1,0.466,0.352,0.845,8.6,0.165,1.4,0.3,1,1
Chris Paul,LAC,82,56,4,34.8,19.1,4.6,10.2,1.9,0.2,0.485,0.398,0.9,16.1,0.27,6.9,7.5,1,1
Russell Westbrook,OKC,67,45,14,34.4,28.1,7.3,8.6,2.1,0.2,0.426,0.299,0.835,10.6,0.222,7.6,11,1,1
DeMarcus Cousins,SAC,59,29,25,34.1,24.1,12.7,3.6,1.5,1.7,0.467,0.25,0.782,6,0.144,3.4,4.7,1,1
Damian Lillard,POR,82,51,8,35.7,21,4.6,6.2,1.2,0.3,0.434,0.343,0.864,10.6,0.174,5.2,5.1,0,1
Tim Duncan,SAS,77,55,6,28.9,13.9,9.1,3,0.8,2,0.512,0.286,0.74,9.6,0.207,4.2,5.5,1,1
Dirk Nowitzki,DAL,77,50,10,29.6,17.3,5.9,1.9,0.5,0.4,0.459,0.38,0.882,7.2,0.152,1.5,0.7,0,1
Kevin Durant,OKC,27,45,14,33.8,25.4,6.6,4.1,0.9,0.9,0.51,0.403,0.854,4.8,0.252,1.9,6.1,0,1
LeBron James,CLE,69,53,7,36.1,25.3,6,7.4,1.6,0.7,0.488,0.354,0.71,10.4,0.199,5.9,7.4,1,1
Carmelo Anthony,NYK,40,17,29,35.7,24.2,6.6,3.1,1,0.4,0.444,0.341,0.797,2.9,0.097,1.2,1.4,0,1
John Wall,WAS,79,46,12,35.9,17.6,4.6,10,1.7,0.6,0.445,0.3,0.785,7.8,0.132,3.9,3.5,0,1
Pau Gasol,CHI,78,50,9,34.4,18.5,11.8,2.7,0.3,1.9,0.494,0.462,0.803,10.4,0.187,3.2,2.8,1,1
Kyle Lowry,TOR,70,49,11,34.5,17.8,4.7,6.8,1.6,0.2,0.412,0.338,0.808,7.1,0.141,3.4,3.6,0,1
Kyrie Irving,CLE,75,53,7,36.4,21.7,3.2,5.2,1.5,0.3,0.468,0.415,0.863,10.4,0.183,3.7,3.3,1,1
Kyle Korver,ATL,75,60,2,32.2,12.1,4.1,2.6,0.7,0.6,0.487,0.492,0.898,7.5,0.148,3.3,3.3,0,1
Paul Millsap,ATL,73,60,2,32.7,16.7,7.8,3.1,1.8,0.9,0.476,0.356,0.757,8.3,0.166,3.7,4.2,0,1
Al Horford,ATL,76,60,2,30.5,15.2,7.2,3.2,0.9,1.3,0.538,0.306,0.759,8.7,0.179,3.4,3.8,0,1
Jeff Teague,ATL,73,60,2,30.5,15.9,2.5,7,1.7,0.4,0.46,0.343,0.862,7.7,0.166,2.1,1.8,0,1
Chris Bosh,MIA,44,37,21,35.4,21.1,7,2.2,0.9,0.6,0.46,0.375,0.772,3.6,0.111,0.8,-0.1,0,1
Jimmy Butler,CHI,65,50,9,38.7,20,5.8,3.3,1.8,0.6,0.462,0.378,0.834,11.2,0.214,4.2,4.7,0,1
DeAndre Jordan,LAC,82,56,4,34.4,11.5,15,0.7,1,2.2,0.71,0.25,0.397,12.8,0.217,4.3,4.1,1,0
Anthony Davis,NOP,68,45,13,36.1,24.4,10.2,2.2,1.5,2.9,0.535,0.083,0.805,14,0.274,5.7,7.1,1,1
Blake Griffin,LAC,67,56,4,35.2,21.9,7.6,5.3,0.9,0.5,0.502,0.4,0.728,9,0.183,3.6,4.1,1,1
Stephen Curry,GSW,79,73,1,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,17.9,0.318,9.8,12.5,1,1
Kobe Bryant,LAL,66,17,29,28.2,17.6,3.7,2.8,0.9,0.2,0.358,0.285,0.826,-0.4,-0.01,-0.2,-2.5,0,1
Kawhi Leonard,SAS,72,67,2,33.1,21.2,6.8,2.6,1.8,1,0.506,0.443,0.874,13.7,0.277,6.2,8.3,1,1
Kevin Durant,OKC,72,55,5,35.8,28.2,8.2,5,1,1.2,0.505,0.387,0.898,14.5,0.27,6.4,7.9,1,1
Russell Westbrook,OKC,80,55,5,34.4,23.5,7.8,10.4,2,0.3,0.454,0.296,0.812,14,0.245,8.3,10,1,1
James Harden,HOU,82,41,17,38.1,29,6.1,7.5,1.7,0.6,0.439,0.359,0.86,13.3,0.204,6.9,6.7,0,1
Klay Thompson,GSW,80,73,1,33.3,22.1,3.8,2.1,0.8,0.6,0.47,0.425,0.873,8,0.144,1.8,0.7,1,1
Chris Paul,LAC,74,53,6,32.7,19.5,4.2,10,2.1,0.2,0.462,0.371,0.896,12.7,0.253,6,7.8,1,1
Anthony Davis,NOP,61,30,25,35.5,24.3,10.3,1.9,1.3,2,0.493,0.324,0.758,7.2,0.16,2.3,2.2,0,1
LaMarcus Aldridge,SAS,74,67,2,30.6,18,8.5,1.5,0.5,1.1,0.513,0,0.858,10.1,0.215,2.2,1.8,1,1
Draymond Green,GSW,81,73,1,34.7,14,9.5,7.4,1.5,1.4,0.49,0.388,0.696,11.1,0.19,5.5,5.8,1,1
DeMarcus Cousins,SAC,65,33,23,34.6,26.9,11.5,3.3,1.6,1.4,0.451,0.333,0.718,5.7,0.122,2.6,2.6,1,1
Kyle Lowry,TOR,77,56,4,37,21.2,4.7,6.4,2.1,0.4,0.427,0.388,0.811,11.6,0.196,6.3,6.8,1,1
Paul George,IND,81,45,11,34.8,23.1,7,4.1,1.9,0.4,0.418,0.371,0.86,9.2,0.157,4.6,4.5,1,1
Carmelo Anthony,NYK,72,32,24,35.1,21.8,7.7,4.2,0.9,0.5,0.434,0.339,0.829,6.4,0.121,2.9,2.6,0,1
Dwyane Wade,MIA,74,48,10,30.5,19,4.1,4.6,1.1,0.6,0.456,0.159,0.793,4.9,0.105,1.6,0.8,0,1
LeBron James,CLE,76,57,3,35.6,25.3,7.4,6.8,1.4,0.6,0.52,0.309,0.731,13.6,0.242,7.6,9.1,1,1
John Wall,WAS,77,41,18,36.2,19.9,4.9,10.2,1.9,0.8,0.424,0.351,0.791,5.7,0.098,3.7,3.2,0,1
Paul Millsap,ATL,81,48,7,32.7,17.1,9,3.3,1.8,1.7,0.47,0.319,0.757,10.1,0.183,4.9,5.3,0,1
Isaiah Thomas,BOS,82,48,8,32.2,22.2,3,6.2,1.1,0.1,0.428,0.359,0.871,9.7,0.177,3.3,3,0,1
DeMar DeRozan,TOR,78,56,4,35.9,23.5,4.5,4,1,0.3,0.446,0.338,0.85,9.9,0.169,2.4,1.4,0,1
Andre Drummond,DET,81,44,12,32.9,16.2,14.8,0.8,1.5,1.4,0.521,0.333,0.355,7.4,0.133,1,-0.5,1,1
Pau Gasol,CHI,72,42,16,31.8,16.5,11,4.1,0.6,2,0.469,0.348,0.792,7.1,0.149,3.5,4,0,1
Al Horford,ATL,82,48,7,32.1,15.2,7.3,3.2,0.8,1.5,0.505,0.344,0.798,9.4,0.172,4.1,4.1,0,1
DeAndre Jordan,LAC,77,53,6,33.7,12.7,13.8,1.2,0.7,2.3,0.703,0,0.43,11.5,0.213,3.5,3.4,1,0
Damian Lillard,POR,75,44,13,35.7,25.1,4,6.8,0.9,0.4,0.419,0.375,0.892,9.2,0.165,3.8,3.7,1,0
Anthony Davis,NOP,74,34,21,36.3,28,11.9,2.1,1.3,2.2,0.506,0.305,0.804,11.3,0.201,4,3.9,1,1
James Harden,HOU,77,55,3,36.5,29.2,8.1,11.2,1.5,0.5,0.44,0.345,0.85,14.4,0.246,8.5,10,1,1
Stephen Curry,GSW,77,67,1,33.5,25.3,4.5,6.6,1.8,0.2,0.468,0.408,0.901,12.3,0.228,6,7.3,1,1
Kevin Durant,GSW,59,67,1,33.6,25.3,8.2,4.8,1.1,1.6,0.537,0.378,0.876,11.4,0.277,5,8.1,1,1
Kawhi Leonard,SAS,71,61,2,33.6,25.7,5.9,3.6,1.8,0.8,0.483,0.374,0.88,13.3,0.267,6,7.9,1,1
Marc Gasol,MEM,71,43,12,34.5,19.8,6.2,4.6,0.9,1.3,0.46,0.385,0.832,7.5,0.146,3.9,4.3,0,1
Russell Westbrook,OKC,78,47,10,34.7,31.8,10.7,10.4,1.7,0.4,0.426,0.347,0.841,12.8,0.227,12,15.6,1,1
Klay Thompson,GSW,76,67,1,34.2,22.5,3.7,2.1,0.8,0.5,0.471,0.417,0.85,6.9,0.127,1.5,0.3,0,1
Gordon Hayward,UTA,70,51,8,34.6,21.8,5.5,3.5,1,0.3,0.465,0.393,0.845,9.9,0.196,3.7,4.1,0,1
Draymond Green,GSW,74,67,1,32.8,10.2,8,7.1,2.1,1.4,0.418,0.304,0.706,8,0.159,4.5,5.3,1,1
DeAndre Jordan,LAC,78,51,6,31.7,12.6,13.7,1.2,0.6,1.7,0.712,0,0.487,11.1,0.215,3.6,3.7,1,1
DeMarcus Cousins,SAC,72,32,23,34.2,27,11.1,4.6,1.4,1.3,0.452,0.361,0.772,7.8,0.151,5.4,6.7,0,1
DeMar DeRozan,TOR,72,51,7,35.5,27,5.3,4,1.1,0.2,0.465,0.268,0.841,8.6,0.162,1.8,0.8,1,1
Giannis Antetokounmpo,MIL,77,42,14,35.5,23.1,8.7,5.4,1.7,1.9,0.523,0.278,0.772,12.1,0.213,6.7,7.8,1,1
Kyrie Irving,CLE,70,51,5,35,25,3.2,5.8,1.2,0.4,0.47,0.395,0.906,8.6,0.168,2.8,2.5,0,1
LeBron James,CLE,72,51,5,37.6,26.3,8.6,8.7,1.2,0.6,0.545,0.362,0.674,12.5,0.221,7.1,8.4,1,1
Jimmy Butler,CHI,72,41,15,37.1,23.9,6.1,5.5,1.9,0.4,0.455,0.357,0.861,12.8,0.231,5.9,6.8,1,1
Paul George,IND,71,42,13,35.8,23.3,6.5,3.3,1.5,0.4,0.453,0.392,0.902,6.1,0.115,2.8,2.4,0,1
John Wall,WAS,76,49,9,36.4,23.2,4.2,10.7,2.1,0.6,0.452,0.318,0.807,8.8,0.152,4.3,4.2,1,1
Kemba Walker,CHO,78,36,20,34.7,23.2,3.9,5.5,1.1,0.3,0.444,0.402,0.844,8,0.142,3.8,3.6,0,1
Carmelo Anthony,NYK,72,31,25,34.5,22.5,5.9,2.9,0.8,0.5,0.434,0.36,0.833,4.6,0.089,0.8,-0.7,0,1
Isaiah Thomas,BOS,72,53,4,34,29.1,2.6,5.9,0.9,0.1,0.463,0.38,0.911,12.1,0.237,4.5,5.3,1,1
Kyle Lowry,TOR,57,51,7,37.8,22.8,4.8,6.9,1.5,0.3,0.465,0.416,0.829,9.9,0.22,4.8,6.7,0,1
Paul Millsap,ATL,66,43,11,34.2,18,7.7,3.7,1.3,0.9,0.44,0.312,0.762,6.1,0.131,2.6,2.7,0,1
Rudy Gobert,UTA,77,51,8,34.1,14,12.9,1.2,0.6,2.7,0.663,0,0.652,13.9,0.254,5.4,6.1,1,0
LeBron James,CLE,82,50,6,36.9,27.5,8.6,9.1,1.4,0.9,0.542,0.367,0.731,14,0.221,8.9,9.6,1,1
Kevin Durant,GSW,68,58,3,34.2,26.4,6.8,5.4,0.7,1.8,0.516,0.419,0.889,10.4,0.215,4.5,5.6,1,1
Russell Westbrook,OKC,80,48,10,36.4,25.4,10.1,10.3,1.8,0.3,0.449,0.298,0.737,10.1,0.166,7.5,8.2,1,1
Kyrie Irving,BOS,60,55,4,32.2,24.4,3.8,5.1,1.1,0.3,0.491,0.408,0.889,8.9,0.222,4,6.2,0,1
Anthony Davis,NOP,75,48,9,36.4,28.1,11.1,2.3,1.5,2.6,0.534,0.34,0.828,13.7,0.241,4.9,5.2,1,1
Paul George,OKC,79,48,10,36.6,21.9,5.7,3.3,2,0.5,0.43,0.401,0.822,8.9,0.147,3.3,2.6,1,1
Andre Drummond,DET,78,39,19,33.7,15,16,3,1.5,1.6,0.529,0,0.605,10.3,0.189,5,5.5,0,1
Bradley Beal,WAS,82,43,17,36.3,22.6,4.4,4.5,1.2,0.4,0.46,0.375,0.791,6.9,0.111,2.7,1.7,0,1
Victor Oladipo,IND,75,48,8,34,23.1,5.2,4.3,2.4,0.8,0.477,0.371,0.799,8.2,0.155,4.5,4.9,1,1
Kemba Walker,CHO,80,36,46,34.2,22.1,3.1,5.6,1.1,0.3,0.431,0.384,0.864,8.6,0.15,3.6,3.2,0,1
Goran Dragic,MIA,75,44,15,31.7,17.3,4.1,4.8,0.8,0.2,0.45,0.37,0.801,5.3,0.106,1.2,-0.1,0,1
LaMarcus Aldridge,SAS,75,47,13,33.5,23.1,8.5,2,0.6,1.2,0.51,0.293,0.837,10.9,0.209,3.3,3.3,1,1
James Harden,HOU,72,65,1,35.4,30.4,5.4,8.8,1.8,0.7,0.449,0.367,0.858,15.4,0.289,8.3,10.9,1,1
DeMar DeRozan,TOR,80,59,2,33.9,23,3.9,5.2,1.1,0.3,0.456,0.31,0.825,9.6,0.17,2.6,1.8,1,1
Stephen Curry,GSW,51,58,3,32,26.4,5.1,6.1,1.6,0.2,0.495,0.423,0.921,9.1,0.267,4.4,8.6,1,1
Giannis Antetokounmpo,MIL,75,44,16,36.7,26.9,10,4.8,1.5,1.4,0.529,0.307,0.76,11.9,0.207,5.4,5.8,1,1
Joel Embiid,PHI,63,52,5,30.3,22.9,11,3.2,0.6,1.8,0.483,0.308,0.769,6.2,0.155,2.2,2.6,1,1
Kyle Lowry,TOR,78,50,2,32.2,16.2,5.6,6.9,1.1,0.2,0.427,0.399,0.854,10.2,0.194,5,5.9,0,1
Klay Thompson,GSW,73,58,3,34.3,20,3.8,2.5,0.8,0.5,0.488,0.44,0.837,4.9,0.094,0.9,-0.6,0,1
