Player,Tm,G,Team Wins,Overall Seed,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM,All-NBA,All-Star
Rasheed Wallace,DET,80,64,1,34.8,15.1,6.8,2.3,1,1.6,0.43,0.357,0.743,8.9,0.154,3.9,3.5,0,1
Chris Bosh,TOR,70,27,26,39.3,22.5,9.2,2.6,0.7,1.1,0.505,0,0.816,9.8,0.17,3.1,2.5,0,1
Chauncey Billups,DET,81,64,1,36.1,18.5,3.1,8.6,0.9,0.1,0.418,0.433,0.894,15.5,0.254,4.9,4.7,1,1
Paul Pierce,BOS,79,33,24,39,26.8,6.7,4.7,1.4,0.4,0.471,0.354,0.772,11.5,0.178,4.9,4.3,0,1
Richard Hamilton,DET,80,64,1,35.3,20.1,3.2,3.4,0.7,0.2,0.491,0.458,0.845,7.6,0.13,1.5,0.2,0,1
Gilbert Arenas,WAS,80,42,13,42.3,29.3,3.5,6.1,2,0.3,0.447,0.369,0.82,13.6,0.193,6.4,5.5,1,1
Steve Nash,PHO,79,54,4,35.4,18.8,4.2,10.5,0.8,0.2,0.512,0.439,0.921,12.4,0.212,4,3.7,1,1
Tracy McGrady,HOU,47,34,23,37.1,24.4,6.5,4.8,1.3,0.9,0.406,0.312,0.747,4.1,0.112,3,4.8,0,1
Kobe Bryant,LAL,80,45,10,41,35.4,5.3,4.5,1.8,0.4,0.45,0.347,0.85,15.3,0.224,6.5,5.8,1,1
Tim Duncan,SAS,80,63,2,34.8,18.6,11,3.2,0.9,2,0.484,0.4,0.629,10.8,0.187,4.6,4.6,1,1
Yao Ming,HOU,57,34,23,34.2,22.3,10.2,1.5,0.5,1.6,0.519,0,0.853,8.6,0.211,2.2,2.4,1,1
Tony Parker,SAS,80,63,2,33.9,18.9,3.3,5.8,1,0.1,0.548,0.306,0.707,9.6,0.169,3.1,2.6,0,1
Ray Allen,SEA,78,35,21,38.7,25.1,4.3,3.7,1.3,0.2,0.454,0.412,0.903,9.5,0.15,4.2,3.6,0,1
Shawn Marion,PHO,81,54,4,40.3,21.8,11.8,1.8,2,1.7,0.525,0.331,0.809,14.6,0.214,5.9,5.3,1,1
Elton Brand,LAC,79,47,9,39.2,24.7,10,2.6,1,2.5,0.527,0.333,0.775,14.8,0.229,6.5,6.3,1,1
Kevin Garnett,MIN,76,33,25,38.9,21.8,12.7,4.1,1.4,1.4,0.526,0.267,0.81,14.9,0.242,7.4,7.9,0,1
Dirk Nowitzki,DAL,81,60,3,38.1,26.6,9,2.8,0.7,1,0.48,0.406,0.901,17.7,0.275,6,5.7,1,1
Pau Gasol,MEM,80,49,7,39.2,20.4,8.9,4.6,0.6,1.9,0.503,0.25,0.689,12,0.184,5.6,5.1,0,1
Carmelo Anthony,DEN,80,44,11,36.8,26.5,4.9,2.7,1.1,0.5,0.481,0.243,0.808,9.4,0.153,2.6,1.5,1,0
Kobe Bryant,LAL,77,42,13,40.8,31.6,5.7,5.4,1.4,0.5,0.463,0.344,0.868,13,0.199,5.3,4.7,1,1
Tracy McGrady,HOU,71,52,5,35.8,24.6,5.3,6.5,1.3,0.5,0.431,0.331,0.707,8.6,0.163,5.2,6.2,1,1
Dirk Nowitzki,DAL,78,67,1,36.2,24.6,8.9,3.4,0.7,0.8,0.502,0.416,0.904,16.3,0.278,6.2,6.7,1,1
Tim Duncan,SAS,80,58,3,34.1,20,10.6,3.4,0.8,2.4,0.546,0.111,0.637,13,0.23,6.3,7.1,1,1
Kevin Garnett,MIN,76,32,24,39.4,22.4,12.8,4.1,1.2,1.7,0.476,0.214,0.835,10.7,0.171,5.2,5,1,1
Carmelo Anthony,DEN,65,45,10,38.2,28.9,6,3.8,1.2,0.4,0.476,0.268,0.808,7.3,0.14,2.5,2,1,1
Tony Parker,SAS,77,58,3,32.5,18.6,3.2,5.5,1.1,0.1,0.52,0.395,0.783,9.6,0.185,3,2.7,0,1
Shawn Marion,PHO,80,61,2,37.6,17.5,9.8,1.7,2,1.5,0.524,0.317,0.81,12,0.191,5.7,5.5,0,1
Ray Allen,SEA,55,31,26,40.3,26.4,4.5,4.1,1.5,0.2,0.438,0.372,0.903,6.3,0.136,3,3.4,0,1
Amar'e Stoudemire,PHO,82,61,2,32.8,20.4,9.6,1,1,1.3,0.575,0,0.781,11.2,0.201,2.4,1.6,1,1
Josh Howard,DAL,70,67,1,35.1,18.9,6.8,1.8,1.2,0.8,0.459,0.385,0.827,8.8,0.173,3,2.8,0,1
Mehmet Okur,UTA,80,51,6,33.3,17.6,7.2,2,0.5,0.5,0.462,0.384,0.765,8.8,0.158,2.7,2,0,1
LeBron James,CLE,78,50,7,40.9,27.3,6.7,6,1.6,0.7,0.476,0.319,0.698,13.7,0.206,7.6,7.4,1,1
Dwyane Wade,MIA,51,44,11,37.9,27.4,4.7,7.5,2.1,1.2,0.491,0.266,0.807,8.8,0.219,5.1,8.4,1,1
Chris Bosh,TOR,69,47,9,38.5,22.6,10.7,2.5,0.6,1.3,0.496,0.343,0.785,9.6,0.174,3.1,2.6,1,1
Gilbert Arenas,WAS,74,41,15,39.8,28.4,4.6,6,1.9,0.2,0.418,0.351,0.844,10.8,0.177,5.2,5,1,1
Shaquille O'Neal,MIA,40,44,11,28.4,17.3,7.4,2,0.2,1.4,0.591,0,0.422,2.8,0.119,0.8,0.9,0,1
Jermaine O'Neal,IND,69,35,19,35.6,19.4,9.6,2.4,0.7,2.6,0.436,0,0.767,4.7,0.091,1.5,0.4,0,1
Dwight Howard,ORL,82,40,16,36.9,17.6,12.3,1.9,0.9,1.9,0.603,0.5,0.586,9.7,0.154,4.3,3.6,1,1
Joe Johnson,ATL,57,30,27,41.4,25,4.2,4.4,1.1,0.2,0.471,0.381,0.748,5.1,0.105,2.1,1.6,0,1
